FIRST CLEAR,first_clear.png
ONE MORE LEVEL BRONZE,clears_bronze.png
ONE MORE LEVEL SILVER,clears_silver.png
ONE MORE LEVEL GOLD,clears_gold.png
HARD START,first_hard.png
NO SPOILERS BRONZE,no_hint_clear.png
NO SPOILERS SILVER,hint_saver.png
NO SPOILERS GOLD,no_hint_gold.png
TICK TOCK BRONZE,on_time_bronze.png
TICK TOCK SILVER,on_time_silver.png
TICK TOCK GOLD,on_time_gold.png
EASY DOES IT,easy_set.png
MIDDLE MAN,medium_set.png
HARD KNOCKS,hard_set.png
THREE STAR DEBUT,three_star_debut.png
UNDO NOTHING,undo_nothing.png
AD FRIEND,ad_friend.png
I'M BLUE,im_blue.png
YOU SHALL NOT PASS,shall_not_pass.png
RULES READER,rules_reader.png
PURPLE RAIN,purple_rain.png
YELLOW SUBMARINE,yellow_submarine.png
PAUSE THINKER,pause_thinker.png
